Num of Sent,Total Words,Nouns,Verbs ,Adj,Adv,Allcon,ExptempCon,IntVerbs,CausalVerbs,NounPhraseDens,VerbPhraseDens,AdvPhraseDens,PrepPhraseDens,AgtlessPassVoiceDens,TextEasaPCWdConc,TextEasaPCRfCoh,TextEasaPCdpCoh,TextEasaPCCon,TextEasaPCTemp,ContWdOvlpAdjSent,ArgOvrlapAllsent ,ContWdOvlpAllSent,LSAOvlpAdjSent,LSASentAll,LexdivContWd,Lexdivallword,RintPartIntVbs,RCasPartCausalVbs,LeftEmbWdsBefMainVrb,NumModPerNounPhrase,SentSyntSimAdjSent,SenSynSimAllComb,CWdFreqContWds,FamContWds,ConContWds,ImagContWds,MeaningContWds,PolyContWds,MnSentLen,SentlenStanDev,WdlenNumofSyll,WdlenNumofSyllSD,FeschRd,LIWCWds>6 let ,Total Function Words,Total Pronouns ,Personal Pronouns,LIWC1stpersing,LIWC1stpersplur,LIWC2ndper ,LIWC3rdpersing,LIWC3rdpersplur,LIWCImperspron,LIWCArt,ÿLIWCComVbs ,ÿLIWCAuxVbs ,LIWCPasttenseVbs ,LIWCPrestensVbs ,LIWCFuttensVbs,LIWCPrep ,LIWCConj,LIWCNeg,ÿLIWCQuant,LIWCNum,LIWCAffectProc,LIWCPosEmot,LIWCNegEmot,LIWCCogMech,LIWCInsight,LIWCCausal,LIWCDiscrep,LIWCTent,LIWCCertain,LIWCInhibit,LIWCIncl,LIWCExcl,LIWCPercProc,LIWCRelativity,LIWCNegWdsLM ,LIWCPosWrdsLM,LIWCModWdsStrongLM,LIWCModWrdsWeakLM,LIWCUncertLM,LIWCModalVrbsLM,LIWCPassVbsLM,class
559,14066,338.54,106.79,94.57,30.8,93.39,14.62,7.31,24.73,387.93,152.5,18.37,138.99,10.32,-0.16,0.96,0.29,-2.79,-0.66,0.17,0.79,0.1,0.39,0.4,0.46,0.3,2.54,0.36,6.19,1.23,0.08,0.07,1.86,550.73,376.21,394.25,421.77,3.41,25.54,13.84,1.89,1.12,21.44,38.62,41.98,2.96,0.19,0.01,0,0,0,0.18,2.77,8.4,5.54,4.72,1.09,2.57,0.88,15.9,6.94,0.53,2.27,4.26,3.33,2.41,0.91,15.43,1.46,2.34,0.86,2.92,0.94,1.19,5.56,1.97,0.27,12.28,1.97,0.97,0.48,0.73,1.57,1.45,1,F
498,12758,343.51,103.33,95.94,29.86,94.65,12.97,7.77,24.48,400.37,148.65,18.48,139.25,11.03,-0.23,0.96,-0.02,-3.19,-0.62,0.17,0.61,0.1,0.39,0.4,0.45,0.29,2.14,0.3,6.13,1.2,0.08,0.08,1.85,550.8,375.64,392.8,420.25,3.35,25.8,14.67,1.91,1.14,19.37,39.05,41.56,2.88,0.17,0.03,0,0,0,0.14,2.71,8.19,5.36,4.64,0.94,2.57,0.84,15.68,7.26,0.48,2.4,4.06,3.33,2.34,0.98,16.34,1.81,2.31,0.89,3.1,0.93,1.27,5.96,1.93,0.25,11.54,2.14,0.76,0.37,0.84,1.72,1.36,0.96,F
501,12604,328.96,98.59,99.48,27.29,86.21,12.88,8.07,86.21,393.38,142.26,15.67,147.02,10,-0.57,0.93,-0.08,-2.13,-0.12,0.18,0.6,0.1,0.38,0.39,0.45,0.29,2.13,0.32,5.73,1.25,0.08,0.08,1.84,551.65,372.83,390.3,414.34,3.35,24.76,14.92,1.9,1.13,21.28,38.84,41.76,2.95,0.2,0.05,0,0,0,0.14,2.75,8.51,5.07,4.13,1.09,2.36,0.85,1.05,16.19,6.04,0.36,2.86,6.83,2.83,0.49,15.25,1.73,1.94,0.77,2.46,1.24,1.39,5.6,1.4,0.33,12,1.37,0.63,0.47,0.49,1.56,1.25,0.78,N
149,480,328.1,102.02,94.85,25.41,85.75,12.95,7.53,23.21,384.45,147.72,13.71,146.58,11.1,-0.6,0.89,-0.05,-2.1,-0.16,0.17,0.77,0.09,0.39,0.4,0.44,0.28,2.62,0.27,5.71,1.24,0.08,0.07,1.84,551.88,370.84,388.51,414.98,3.34,26.34,16.96,1.89,1.12,20.56,36.68,42.2,2.98,0.2,0.06,0,0,0,0.14,2.78,8.71,5.11,4.22,1.13,2.23,0.92,16.58,6.12,0.41,2.82,6.27,3.05,2.53,0.5,15.15,1.83,2.23,0.86,2.48,1.23,1.35,5.28,1.54,0.23,11.26,1.4,0.56,0.51,0.51,1.38,1.32,0.88,N
277,7456,355.47,90.56,99.31,30.05,82.42,14.53,6.62,0,401.79,123.18,18.07,148.98,8.25,0.01,0.61,0.2,-1.85,-0.37,0.15,0.59,0.15,0.32,0.32,0.49,0.32,3.06,0.47,5.95,1.31,0.09,0.08,1.89,556.17,391.25,407.24,418.25,3.51,27.2,16.1,1.88,1.14,20.43,38.39,40.98,2.85,0.13,0.03,0.01,0,0,0.09,2.71,8.61,5.14,3.95,1.38,2.58,0.52,16.36,5.79,0.56,2.19,5.98,3.68,2.36,1.16,15.47,2.14,3.67,0.63,1.79,0.83,0.62,5.45,1.26,0.21,12.26,2.16,0.86,0.23,0.45,1.51,0.92,0.75,F
335,9614,355.29,92.11,106.17,27.08,84.58,14.59,5.42,20.14,409.11,124.85,15.56,145.41,7.2,0.05,0.8,0.3,-1.98,-0.15,0.15,0.78,0.1,0.33,0.34,0.45,0.3,3.81,0.5,6.51,1.25,0.08,0.08,1.89,556.49,392.22,407.03,419.45,3.48,29.4,16.59,1.89,1.14,17.42,39.12,40.85,2.74,0.12,0.01,0.01,0,0,0.09,2.63,8.52,5.02,3.89,1.24,2.4,0.52,16.02,6,0.57,2.27,5.5,3.9,2.47,1.28,16.03,2.15,3.81,0.89,1.88,0.76,0.63,5.8,1.19,0.27,13.1,1.97,1.03,0.25,0.62,2.06,1.07,0.69,F
420,11764,370.27,87.08,82.23,25.28,83.08,14.84,6.98,22.35,408.14,109.22,13.87,164.38,9.65,0.12,0.98,0.03,-1.85,-0.11,0.18,0.6,0.1,0.41,0.36,0.44,0.28,3.92,0.33,7.96,1.31,0.1,0.09,1.83,542.93,391.24,404.56,425.04,3.23,28.2,15.09,1.83,1.09,23.43,35.67,41.03,2.54,0.08,0.01,0,0,0.02,0.05,2.46,8.98,4.26,3.2,1.78,1.95,0.31,17.26,5.92,0.5,2.9,6.12,3.4,2.52,0.87,14.68,1.98,3.53,0.42,1.25,0.82,0.65,5.7,1.09,0.37,13.9,2.12,1.01,0.15,0.15,0.74,0.48,0.4,N
248,6796,390.74,80.82,89.59,23.48,88.24,12.39,5.95,21.59,406.86,124.58,11.01,136.6,15.22,0.1,0.33,-0.57,-2.73,-0.37,0.15,0.53,0.08,0.31,0.29,0.52,0.35,1.82,0.38,8.04,1.33,0.09,0.07,1.87,545.62,395.29,403.64,419.89,3.31,27.57,16.5,1.92,1.15,16.66,39.34,40.98,3.23,0.15,0,0,0,0.01,0.13,3.08,8.14,5.09,3.96,1.23,2.95,0.34,15.2,6.87,0.59,3.11,3.45,2.79,2.13,0.66,16.7,1.95,3.43,0.5,1.36,1.04,0.88,7.07,1.01,0.45,11.4,1.27,0.54,0.17,0.15,0.89,0.56,0.75,N
805,13456,359.24,99.23,90.42,25.85,76.16,26.8,12.01,29.31,400.81,142.17,15.42,157.51,12.48,-0.33,-0.33,0.46,-0.71,-0.29,0.11,0.42,0.07,0.23,0.23,0.5,0.32,2.12,0.34,4.58,1.11,0.1,0.09,1.99,552.29,377.41,402.5,427.32,3.71,16.75,9.98,1.73,0.99,43.47,32.51,41.63,3.33,0.81,0.03,0.49,0,0,0.29,2.52,8.87,6.24,5,1.48,3.93,0.36,16.72,4.22,0.27,2.97,4.32,4.77,3.93,0.79,13.21,1.97,3.47,0.38,1.01,1.52,0.68,4.34,0.42,0.3,13.92,0.71,1.98,0.35,0.08,1.12,0.72,0.81,F
1161,19452,352.72,100.95,97.4,26.71,78.48,24.54,13.1,28.68,393.53,149.53,16.58,144.18,13.31,-0.5,-0.37,0.41,-1.02,-0.08,0.11,0.42,0.07,0.23,0.22,0.5,0.33,1.86,0.35,4.44,1.12,0.1,0.09,2.01,554.49,373.58,398.74,422.58,3.73,16.72,11.31,1.73,0.98,43.58,32.96,42.25,4.33,1.29,0.04,0.82,0,0.01,0.42,3.04,8.51,6.72,5.3,1.62,4.17,0.44,16.08,4.58,0.31,2.75,4.06,5.51,4.14,1.26,13.85,1.92,3.73,0.43,1.06,1.39,0.71,4.66,0.56,0.31,14.26,0.77,1.74,0.46,0.1,1.36,0.77,0.76,F
