Affect Ratio,Imagery   ,Pleasantness,Average Sentence Length,Average Word Length,Content Word Diversity,Function Word Diversity,Lexical Diversity,Emotiveness,Group References,Other References,Passive Verb Ratio,Modifier Quantity,Sentence Quantity,Verb Quantity,Word Quantity,Sensory Ratio,Spatio-temporal ratio,Modal Verb Ratio,class
0.05,411.00,0.04,36.00,1.73,0.51,7.38,0.33,0.22,0.11,0.31,0.06,1238.00,651.00,1157.00,11831.00,0.00,0.16,0.12,N
0.03,400.00,0.02,28.00,1.84,0.52,8.49,0.33,0.28,0.28,0.24,0.06,1860.00,718.00,1443.00,15112.00,0.01,0.14,0.14,F
0.04,399.00,0.03,27.00,1.85,0.50,8.55,0.32,0.28,0.31,0.25,0.04,1636.00,623.00,1259.00,13156.00,0.01,0.13,0.13,F
0.04,394.00,0.02,29.00,1.86,0.52,9.81,0.34,0.30,0.11,0.38,0.06,1517.00,475.00,1066.00,11274.00,0.00,0.14,0.25,N
0.04,392.00,0.03,28.00,1.88,0.52,9.20,0.33,0.30,0.35,0.28,0.04,1758.00,578.00,1269.00,13048.00,0.01,0.14,0.21,N
0.03,394.00,0.02,27.00,1.83,0.47,8.83,0.31,0.27,0.01,0.27,0.05,2421.00,832.00,1962.00,19099.00,0.01,0.15,0.17,F
0.03,398.00,0.02,28.00,1.86,0.45,7.68,0.30,0.27,0.12,0.22,0.04,1277.00,509.00,964.00,10288.00,0.01,0.15,0.07,F
0.03,399.00,0.03,30.00,1.87,0.46,9.15,0.29,0.26,0.29,0.32,0.07,2526.00,968.00,2005.00,21846.00,0.00,0.14,0.18,F
0.03,397.00,0.03,29.00,1.87,0.46,9.93,0.30,0.27,0.25,0.31,0.06,2833.00,1042.00,2056.00,23737.00,0.00,0.16,0.16,F
0.04,392.00,0.03,30.00,1.88,0.44,9.93,0.28,0.24,0.00,0.27,0.06,2421.00,863.00,2433.00,21211.00,0.00,0.13,0.23,N
0.04,394.00,0.02,30.00,1.90,0.43,10.46,0.28,0.27,0.19,0.28,0.06,2887.00,944.00,2629.00,23914.00,0.00,0.13,0.22,N
0.04,391.00,0.02,30.00,1.90,0.51,9.13,0.34,0.32,0.29,0.32,0.08,1558.00,507.00,1067.00,11011.00,0.01,0.13,0.31,F
0.03,390.00,0.02,29.00,1.89,0.47,9.33,0.31,0.14,0.26,0.28,0.08,2435.00,746.00,1627.00,16649.00,0.01,0.12,0.26,F
0.03,419.00,0.02,34.00,1.83,0.44,10.10,0.30,0.26,0.00,0.25,0.02,1342.00,442.00,1018.00,11463.00,0.00,0.12,0.05,N
0.03,415.00,0.02,32.00,1.34,0.41,10.10,0.26,0.27,0.00,0.26,0.03,1463.00,488.00,1119.00,12501.00,0.00,0.12,0.07,N
0.03,407.00,0.02,25.00,1.81,0.47,8.00,0.30,0.27,0.00,0.29,0.04,1204.00,483.00,1007.00,9912.00,0.01,0.13,0.13,F
0.03,413.00,0.02,22.00,1.29,0.47,7.52,0.30,0.30,0.57,0.78,0.04,1173.00,493.00,849.00,9198.00,0.01,0.12,0.10,F
